[ 2026-01-21 23:04:50,483 ] 13 root - INFO - Initiate the data ingestion
[ 2026-01-21 23:04:56,501 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-01-21 23:04:56,502 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-21 23:04:56,505 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-21 23:04:56,715 ] 79 root - INFO - Exported train and test file path.
[ 2026-01-21 23:04:56,716 ] 91 root - INFO - data ingestion final step
[ 2026-01-21 23:04:56,717 ] 15 root - INFO - Data ingestion complete
[ 2026-01-21 23:04:56,738 ] 20 root - INFO - Data validation initiated
[ 2026-01-21 23:04:57,157 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 23:04:57,158 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 23:04:57,159 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 23:04:57,159 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 23:04:57,680 ] 22 root - INFO - Data validation completed
